MARSEILLE,43.30000,5.400000
PARIS,48.86667,2.333333
LILLE,50.63333,3.066667
BESANCON,47.25000,6.033333
BREST,48.40000,-4.483333
NANTES,47.21667,-1.550000
BORDEAUX,44.83333,-0.566667
PAU,43.30000,-0.366667
MONTPELLIER,43.60000,3.883333
TOULOUSE,43.60000,1.433333
ROUEN,49.43333,1.083333
BOURGES,47.08333,2.400000
NANCY,48.68333,6.200000
METZ,49.13333,6.166667
STRASBOURG,48.58333,7.750000
GRENOBLE,45.16667,5.716667
CHAMBERY,45.56667,5.933333
LYON,45.75000,4.850000
ORLEANS,47.91667,1.900000
NICE,43.70000,7.250000
GAP,44.56667,6.083333
VALENCE,44.933333,4.9
